cultivo,variable,p10,mediana,p90,n_filas
soja,ph,6.183333333333334,6.716666666666668,6.957142857142859,315
soja,temp_media_c,20.905790548249566,22.48142076502732,24.67043956043956,315
soja,temp_max_promedio_c,26.059369482976035,27.568852459016394,29.651522248243563,315
soja,temp_min_promedio_c,15.841552272863748,17.615384615384617,20.043278688524595,315
soja,precipitacion_total_mm,477.56,714.0999999999999,1115.3200000000002,315
soja,humedad_relativa_promedio,60.54644808743169,67.07692307692308,73.78571428571429,315
soja,arcilla_pct,18.5,26.46666666666667,36.06666666666667,315
soja,arena_pct,9.333333333333334,31.86666666666667,49.972500000000096,315
soja,materia_organica_pct,2.421399047619047,2.687524444444444,4.439299999999999,315
soja,cec,15.630000000000004,21.71666666666667,23.633333333333336,315
maiz,ph,5.8500000000000005,6.7444444444444445,6.957142857142859,331
maiz,temp_media_c,20.654395604395607,22.2896174863388,24.67087912087912,331
maiz,temp_max_promedio_c,25.73879781420765,27.4065934065934,29.86318681318681,331
maiz,temp_min_promedio_c,15.503846153846151,17.379234972677594,20.08087431693989,331
maiz,precipitacion_total_mm,442.0,680.9000000000001,971.9,331
maiz,humedad_relativa_promedio,60.1978021978022,66.03296703296704,71.63736263736264,331
maiz,arcilla_pct,18.5,26.46666666666667,36.06666666666667,331
maiz,arena_pct,9.333333333333334,31.86666666666667,54.59761904761905,331
maiz,materia_organica_pct,2.421399047619047,2.82736,4.936386666666666,331
maiz,cec,16.150000000000002,21.71666666666667,24.42333333333333,331
trigo,ph,6.3533333333333335,6.7444444444444445,6.957142857142859,245
trigo,temp_media_c,12.765901639344264,14.862704918032788,16.619262295081967,245
trigo,temp_max_promedio_c,17.71450819672131,20.05245901639344,21.660409836065575,245
trigo,temp_min_promedio_c,8.209754098360657,10.254508196721313,12.243032786885246,245
trigo,precipitacion_total_mm,329.92,469.30000000000007,727.8199999999999,245
trigo,humedad_relativa_promedio,65.18688524590164,69.77459016393442,74.32622950819672,245
trigo,arcilla_pct,18.5,26.992857142857147,36.06666666666667,245
trigo,arena_pct,9.333333333333334,25.78333333333333,47.5125,245
trigo,materia_organica_pct,2.450953333333333,3.1114608333333327,4.936386666666666,245
trigo,cec,18.547619047619047,22.133333333333336,25.08888888888889,245
girasol,ph,6.3533333333333335,6.783333333333333,6.957142857142859,186
girasol,temp_media_c,20.55247252747253,21.83406593406594,23.71256830601093,186
girasol,temp_max_promedio_c,25.751648351648356,27.164902720230593,28.906079985588182,186
girasol,temp_min_promedio_c,15.36413258872275,16.738186813186815,18.57131147540984,186
girasol,precipitacion_total_mm,381.79999999999995,586.25,848.75,186
girasol,humedad_relativa_promedio,58.23497267759563,64.22252747252747,69.8082627754759,186
girasol,arcilla_pct,18.5,26.46666666666667,36.06666666666667,186
girasol,arena_pct,9.333333333333334,25.78333333333333,47.5125,186
girasol,materia_organica_pct,2.421399047619047,2.82736,4.691195555555554,186
girasol,cec,17.445238095238093,21.71666666666667,24.42333333333333,186
cebada,ph,5.8500000000000005,6.7444444444444445,6.9375,52
cebada,temp_media_c,12.04204918032787,14.696311475409836,15.998606557377052,52
cebada,temp_max_promedio_c,16.96643442622951,19.657786885245898,21.023934426229506,52
cebada,temp_min_promedio_c,7.842172131147541,10.008811475409836,11.480819672131146,52
cebada,precipitacion_total_mm,367.41,474.5000000000001,659.8,52
cebada,humedad_relativa_promedio,67.58524590163935,70.68852459016394,74.45327868852459,52
cebada,arcilla_pct,18.5,26.90000000000001,40.73333333333333,52
cebada,arena_pct,11.85,25.78333333333333,47.5125,52
cebada,materia_organica_pct,2.588873333333333,3.1881685714285712,5.528293333333333,52
cebada,cec,21.083333333333336,22.133333333333336,25.08888888888889,52
sorgo,ph,5.8500000000000005,6.716666666666668,7.010158730158737,249
sorgo,temp_media_c,20.913339338257366,22.24670329670329,23.432637362637358,249
sorgo,temp_max_promedio_c,26.06043956043955,27.32692307692308,28.566739926739924,249
sorgo,temp_min_promedio_c,15.842994655617604,17.287912087912087,18.794175824175827,249
sorgo,precipitacion_total_mm,448.92,670.9,928.22,249
sorgo,humedad_relativa_promedio,60.393406593406596,66.04945054945055,71.02967032967034,249
sorgo,arcilla_pct,18.5,26.992857142857147,36.06666666666667,249
sorgo,arena_pct,9.333333333333334,25.78333333333333,54.59761904761905,249
sorgo,materia_organica_pct,2.421399047619047,2.82736,4.446004444444443,249
sorgo,cec,17.445238095238093,21.71666666666667,23.633333333333336,249
avena,ph,6.533333333333333,6.783333333333333,7.222222222222223,145
avena,temp_media_c,12.060983606557379,14.542622950819672,15.692786885245901,145
avena,temp_max_promedio_c,17.145081967213113,19.66188524590164,20.93245901639344,145
avena,temp_min_promedio_c,7.7250000000000005,9.91967213114754,11.055573770491803,145
avena,precipitacion_total_mm,337.82,436.8,659.86,145
avena,humedad_relativa_promedio,64.72704918032787,68.95081967213115,73.26147540983607,145
avena,arcilla_pct,18.5,26.90000000000001,31.23333333333333,145
avena,arena_pct,9.333333333333334,32.477777777777774,47.5125,145
avena,materia_organica_pct,2.450953333333333,3.1114608333333327,4.936386666666666,145
avena,cec,20.944444444444443,22.133333333333336,25.08888888888889,145
centeno,ph,6.7,6.957142857142859,7.222222222222223,45
centeno,temp_media_c,13.279754098360657,14.561475409836063,15.77590163934426,45
centeno,temp_max_promedio_c,18.5894262295082,20.210655737704915,21.190081967213118,45
centeno,temp_min_promedio_c,8.368688524590164,10.009426229508197,10.992868852459019,45
centeno,precipitacion_total_mm,291.24,423.1,553.74,45
centeno,humedad_relativa_promedio,62.45245901639345,67.78688524590164,70.57131147540983,45
centeno,arcilla_pct,15.342857142857143,20.53125,31.23333333333333,45
centeno,arena_pct,9.333333333333334,37.538095238095245,54.59761904761905,45
centeno,materia_organica_pct,2.1123104761904763,2.450953333333333,3.1881685714285712,45
centeno,cec,18.466666666666665,20.944444444444443,22.68125,45
arroz,ph,5.773333333333333,5.773333333333333,6.183333333333334,35
arroz,temp_media_c,22.83340659340659,23.62252747252747,25.04978021978022,35
arroz,temp_max_promedio_c,27.56538461538462,28.737704918032787,30.348351648351645,35
arroz,temp_min_promedio_c,18.119185732300487,18.6775956284153,20.051821293460637,35
arroz,precipitacion_total_mm,402.32,655.3,938.72,35
arroz,humedad_relativa_promedio,60.14945054945055,66.0934065934066,71.68791208791208,35
